time,Np,Nc,N
0.557307,1,1,1
0.599447,1,2,1
0.587618,1,4,1
0.612575,1,8,1
0.592682,2,1,1
0.606739,4,1,1
0.627687,8,1,1
0.299884,1,1,2
0.309114,1,2,2
0.378365,1,4,2
0.390396,1,8,2
0.294529,2,1,2
0.439022,4,1,2
0.453437,8,1,2
0.143402,1,1,4
0.194710,1,2,4
0.316206,1,4,4
0.373643,1,8,4
0.191804,2,1,4
0.341158,4,1,4
0.390422,8,1,4
0.094704,1,1,8
0.142808,1,2,8
0.331875,1,4,8
0.371907,1,8,8
0.160169,2,1,8
0.347996,4,1,8
0.395343,8,1,8
0.090529,1,1,16
0.131014,1,2,16
0.348111,1,4,16
0.385497,1,8,16
0.136496,2,1,16
0.338043,4,1,16
0.401433,8,1,16
0.069154,1,1,32
0.128517,1,2,32
0.323649,1,4,32
0.389581,1,8,32
0.145105,2,1,32
0.328121,4,1,32
0.386183,8,1,32
0.534731,1,1,1
0.573415,1,2,1
0.589645,1,4,1
0.626537,1,8,1
0.597492,2,1,1
0.602343,4,1,1
0.594567,8,1,1
0.268403,1,1,2
0.301691,1,2,2
0.365201,1,4,2
0.385745,1,8,2
0.260229,2,1,2
0.426776,4,1,2
0.440884,8,1,2
0.149029,1,1,4
0.184824,1,2,4
0.322272,1,4,4
0.392661,1,8,4
0.181463,2,1,4
0.350592,4,1,4
0.384803,8,1,4
0.070214,1,1,8
0.136945,1,2,8
0.331101,1,4,8
0.385113,1,8,8
0.155984,2,1,8
0.353973,4,1,8
0.386000,8,1,8
0.084980,1,1,16
0.126000,1,2,16
0.336941,1,4,16
0.363913,1,8,16
0.152997,2,1,16
0.336193,4,1,16
0.393758,8,1,16
0.082099,1,1,32
0.140185,1,2,32
0.331492,1,4,32
0.386861,1,8,32
0.143673,2,1,32
0.358065,4,1,32
0.394450,8,1,32
0.545911,1,1,1
0.561668,1,2,1
0.566331,1,4,1
0.573423,1,8,1
0.598531,2,1,1
0.647160,4,1,1
0.588716,8,1,1
0.278273,1,1,2
0.257674,1,2,2
0.369023,1,4,2
0.389513,1,8,2
0.350215,2,1,2
0.371194,4,1,2
0.439134,8,1,2
0.151643,1,1,4
0.170856,1,2,4
0.337781,1,4,4
0.369709,1,8,4
0.207327,2,1,4
0.341398,4,1,4
0.371622,8,1,4
0.092369,1,1,8
0.141083,1,2,8
0.343979,1,4,8
0.388480,1,8,8
0.148562,2,1,8
0.344132,4,1,8
0.403385,8,1,8
0.105145,1,1,16
0.126396,1,2,16
0.346983,1,4,16
0.396956,1,8,16
0.140284,2,1,16
0.339303,4,1,16
0.398841,8,1,16
0.085552,1,1,32
0.128479,1,2,32
0.339573,1,4,32
0.372020,1,8,32
0.143683,2,1,32
0.331517,4,1,32
0.410745,8,1,32
0.549149,1,1,1
0.573692,1,2,1
0.590607,1,4,1
0.624045,1,8,1
0.599179,2,1,1
0.618465,4,1,1
0.629459,8,1,1
0.290921,1,1,2
0.244854,1,2,2
0.331982,1,4,2
0.402458,1,8,2
0.288760,2,1,2
0.406778,4,1,2
0.408328,8,1,2
0.155625,1,1,4
0.170881,1,2,4
0.341658,1,4,4
0.376090,1,8,4
0.200898,2,1,4
0.350447,4,1,4
0.405369,8,1,4
0.092988,1,1,8
0.144499,1,2,8
0.343702,1,4,8
0.381548,1,8,8
0.147837,2,1,8
0.338993,4,1,8
0.384141,8,1,8
0.107889,1,1,16
0.127337,1,2,16
0.348156,1,4,16
0.368267,1,8,16
0.146219,2,1,16
0.342537,4,1,16
0.412525,8,1,16
0.098065,1,1,32
0.135158,1,2,32
0.330966,1,4,32
0.377586,1,8,32
0.144488,2,1,32
0.343916,4,1,32
0.411042,8,1,32
0.557709,1,1,1
0.615678,1,2,1
